# 
# 10/11/2024 13:55:18
# The parameters defined in the project are:
# ,P1 - Mesh Element Size [mm],P2 - Mesh Nodes,P3 - Directional Deformation Minimum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3
DP 0,5,189,-0.745710134506226
DP 1,4,416,-0.74692517518997192
DP 2,3,875,-0.748495876789093
DP 3,2,1836,-0.74980473518371582
DP 4,1.5,4352,-0.75048118829727173
DP 5,1.3,6318,-0.75072038173675537
DP 6,1.2,8500,-0.75085759162902832
DP 7,1,12221,-0.75106245279312134
DP 8,0.9,19097,-0.75119566917419434
DP 9,0.8,24696,-0.75128895044326782
