# ,,,
# 10/15/2024 14:43:38,,,
# The parameters defined in the project are:,,,
# ,P3 - Mesh Element Size [mm],P1 - X Axis Directional Deformation Maximum [mm],P2 - Mesh Nodes
# ,,,
# The following header line defines the name of the columns by reference to the parameters.,,,
Name,P3 (element size),P1(max deisplacement),P2(no. of nodes)
DP 0,10,0.077699751,218
DP 1,8,0.078032799,289
DP 2,6,0.078263372,483
DP 3,5,0.078377724,720
DP 4,4,0.078450352,1059
DP 5,3,0.078544587,1916
DP 6,2.5,0.078568123,2692
DP 7,2,0.078601114,4072
DP 8,1.5,0.078623898,7379
DP 9,1.2,0.078635819,10923
DP 10,1,0.078640051,16123
